n,algo_a,algo_b,abs_max,rel_max,rel_mean,rel_q90
256,brent_kung_tuned_m,kl_threshold,1.73472e-16,1.73472e-16,4.13395e-17,8.67362e-17
256,brent_kung_tuned_m,kl_tellegen,3.73356e-14,3.73356e-14,1.51646e-15,2.72308e-15
256,brent_kung_tuned_m,kl_tellegen_xy,3.73356e-14,3.73356e-14,1.51646e-15,2.72308e-15
256,kl_basic,kl_inplace,0.0,0.0,0.0,0.0
256,kl_basic,kl_truncated_mul,3.05311e-16,3.05311e-16,5.48378e-17,1.34441e-16
256,kl_basic,kl_packed_pq,3.05311e-16,3.05311e-16,5.48378e-17,1.34441e-16
256,kl_basic,kl_threshold,3.05311e-16,3.05311e-16,5.48378e-17,1.34441e-16
256,kl_basic,kl_tellegen,3.73156e-14,3.73156e-14,1.51779e-15,2.71571e-15
256,kl_basic,kl_tellegen_xy,3.73156e-14,3.73156e-14,1.51779e-15,2.71571e-15
256,kl_inplace,kl_truncated_mul,3.05311e-16,3.05311e-16,5.48378e-17,1.34441e-16
256,kl_inplace,kl_packed_pq,3.05311e-16,3.05311e-16,5.48378e-17,1.34441e-16
256,kl_inplace,kl_threshold,3.05311e-16,3.05311e-16,5.48378e-17,1.34441e-16
256,kl_inplace,kl_tellegen,3.73156e-14,3.73156e-14,1.51779e-15,2.71571e-15
256,kl_inplace,kl_tellegen_xy,3.73156e-14,3.73156e-14,1.51779e-15,2.71571e-15
256,kl_truncated_mul,kl_packed_pq,0.0,0.0,0.0,0.0
256,kl_truncated_mul,kl_threshold,0.0,0.0,0.0,0.0
256,kl_truncated_mul,kl_tellegen,3.73139e-14,3.73139e-14,1.52005e-15,2.71528e-15
256,kl_truncated_mul,kl_tellegen_xy,3.73139e-14,3.73139e-14,1.52005e-15,2.71528e-15
256,kl_packed_pq,kl_threshold,0.0,0.0,0.0,0.0
256,kl_packed_pq,kl_tellegen,3.73139e-14,3.73139e-14,1.52005e-15,2.71528e-15
256,kl_packed_pq,kl_tellegen_xy,3.73139e-14,3.73139e-14,1.52005e-15,2.71528e-15
256,kl_threshold,kl_tellegen,3.73139e-14,3.73139e-14,1.52005e-15,2.71528e-15
256,kl_threshold,kl_tellegen_xy,3.73139e-14,3.73139e-14,1.52005e-15,2.71528e-15
256,kl_tellegen,kl_tellegen_xy,0.0,0.0,0.0,0.0
1024,naive_horner,brent_kung_basic,5.65379e-11,3.90674e-11,6.54409e-13,9.50624e-13
1024,naive_horner,brent_kung_opt,5.65379e-11,3.90674e-11,6.54409e-13,9.50624e-13
1024,naive_horner,brent_kung_streaming,1.28502e-11,1.249e-11,2.41132e-13,3.87079e-13
1024,naive_horner,brent_kung_tuned_m,5.65379e-11,3.90674e-11,6.54409e-13,9.50624e-13
1024,naive_horner,kl_basic,1.21219e-11,4.55358e-12,1.77492e-13,4.49964e-13
1024,naive_horner,kl_inplace,1.21219e-11,4.55358e-12,1.77492e-13,4.49964e-13
1024,naive_horner,kl_truncated_mul,5.99307e-10,5.44555e-10,1.16893e-11,2.58327e-11
1024,naive_horner,kl_packed_pq,5.99307e-10,5.44555e-10,1.16893e-11,2.58327e-11
1024,naive_horner,kl_threshold,5.99307e-10,5.44555e-10,1.16893e-11,2.58327e-11
1024,naive_horner,kl_tellegen,1.18816e-05,8.09561e-06,1.02825e-07,2.1422e-07
1024,naive_horner,kl_tellegen_xy,1.18816e-05,8.09561e-06,1.02825e-07,2.1422e-07
1024,brent_kung_basic,brent_kung_opt,0.0,0.0,0.0,0.0
1024,brent_kung_basic,brent_kung_streaming,4.42597e-11,2.75822e-11,5.04646e-13,7.89162e-13
1024,brent_kung_basic,brent_kung_tuned_m,0.0,0.0,0.0,0.0
1024,brent_kung_basic,kl_basic,6.16929e-11,3.86012e-11,7.34008e-13,1.10103e-12
1024,brent_kung_basic,kl_inplace,6.16929e-11,3.86012e-11,7.34008e-13,1.10103e-12
1024,brent_kung_basic,kl_truncated_mul,6.12091e-10,5.59565e-10,1.14311e-11,2.51203e-11
1024,brent_kung_basic,kl_packed_pq,6.12091e-10,5.59565e-10,1.14311e-11,2.51203e-11
1024,brent_kung_basic,kl_threshold,6.12091e-10,5.59565e-10,1.14311e-11,2.51203e-11
1024,brent_kung_basic,kl_tellegen,1.18816e-05,8.09561e-06,1.02825e-07,2.1422e-07
1024,brent_kung_basic,kl_tellegen_xy,1.18816e-05,8.09561e-06,1.02825e-07,2.1422e-07
1024,brent_kung_opt,brent_kung_streaming,4.42597e-11,2.75822e-11,5.04646e-13,7.89162e-13
1024,brent_kung_opt,brent_kung_tuned_m,0.0,0.0,0.0,0.0
1024,brent_kung_opt,kl_basic,6.16929e-11,3.86012e-11,7.34008e-13,1.10103e-12
1024,brent_kung_opt,kl_inplace,6.16929e-11,3.86012e-11,7.34008e-13,1.10103e-12
1024,brent_kung_opt,kl_truncated_mul,6.12091e-10,5.59565e-10,1.14311e-11,2.51203e-11
1024,brent_kung_opt,kl_packed_pq,6.12091e-10,5.59565e-10,1.14311e-11,2.51203e-11
1024,brent_kung_opt,kl_threshold,6.12091e-10,5.59565e-10,1.14311e-11,2.51203e-11
1024,brent_kung_opt,kl_tellegen,1.18816e-05,8.09561e-06,1.02825e-07,2.1422e-07
1024,brent_kung_opt,kl_tellegen_xy,1.18816e-05,8.09561e-06,1.02825e-07,2.1422e-07
1024,brent_kung_streaming,brent_kung_tuned_m,4.42597e-11,2.75822e-11,5.04646e-13,7.89162e-13
1024,brent_kung_streaming,kl_basic,2.35332e-11,1.10191e-11,3.17351e-13,5.08094e-13
1024,brent_kung_streaming,kl_inplace,2.35332e-11,1.10191e-11,3.17351e-13,5.08094e-13
1024,brent_kung_streaming,kl_truncated_mul,5.93103e-10,5.42207e-10,1.15873e-11,2.56006e-11
1024,brent_kung_streaming,kl_packed_pq,5.93103e-10,5.42207e-10,1.15873e-11,2.56006e-11
1024,brent_kung_streaming,kl_threshold,5.93103e-10,5.42207e-10,1.15873e-11,2.56006e-11
1024,brent_kung_streaming,kl_tellegen,1.18816e-05,8.09561e-06,1.02825e-07,2.1422e-07
1024,brent_kung_streaming,kl_tellegen_xy,1.18816e-05,8.09561e-06,1.02825e-07,2.1422e-07
1024,brent_kung_tuned_m,kl_basic,6.16929e-11,3.86012e-11,7.34008e-13,1.10103e-12
1024,brent_kung_tuned_m,kl_inplace,6.16929e-11,3.86012e-11,7.34008e-13,1.10103e-12
1024,brent_kung_tuned_m,kl_truncated_mul,6.12091e-10,5.59565e-10,1.14311e-11,2.51203e-11
1024,brent_kung_tuned_m,kl_packed_pq,6.12091e-10,5.59565e-10,1.14311e-11,2.51203e-11
1024,brent_kung_tuned_m,kl_threshold,6.12091e-10,5.59565e-10,1.14311e-11,2.51203e-11
1024,brent_kung_tuned_m,kl_tellegen,1.18816e-05,8.09561e-06,1.02825e-07,2.1422e-07
1024,brent_kung_tuned_m,kl_tellegen_xy,1.18816e-05,8.09561e-06,1.02825e-07,2.1422e-07
1024,kl_basic,kl_inplace,0.0,0.0,0.0,0.0
1024,kl_basic,kl_truncated_mul,6.02135e-10,5.4079e-10,1.17104e-11,2.58007e-11
1024,kl_basic,kl_packed_pq,6.02135e-10,5.4079e-10,1.17104e-11,2.58007e-11
1024,kl_basic,kl_threshold,6.02135e-10,5.4079e-10,1.17104e-11,2.58007e-11
1024,kl_basic,kl_tellegen,1.18816e-05,8.09561e-06,1.02825e-07,2.1422e-07
1024,kl_basic,kl_tellegen_xy,1.18816e-05,8.09561e-06,1.02825e-07,2.1422e-07
1024,kl_inplace,kl_truncated_mul,6.02135e-10,5.4079e-10,1.17104e-11,2.58007e-11
